,0,1
0,"[0.31199273467063904, 9, 4, 196276]","[0.5618295669555664, 0, 0, 455]"
1,"[0.2848382294178009, 9, 4, 196276]","[0.5266284346580505, 0, 0, 455]"
2,"[0.2936787009239197, 9, 4, 196276]","[0.6047934293746948, 0, 0, 455]"
3,"[0.296509712934494, 9, 4, 196276]","[0.6054713129997253, 0, 0, 455]"
4,"[0.30180785059928894, 9, 4, 196276]","[0.5684800744056702, 0, 0, 455]"
5,"[0.2899019122123718, 9, 4, 196276]","[0.6111927032470703, 0, 0, 455]"
6,"[0.31749773025512695, 9, 4, 196276]","[0.5914441347122192, 0, 0, 455]"
7,"[0.31567585468292236, 9, 4, 196276]","[0.6135053038597107, 0, 0, 455]"
8,"[0.31079012155532837, 9, 4, 196276]","[0.6007944345474243, 0, 0, 455]"
9,"[0.3031083941459656, 9, 4, 196276]","[0.621742844581604, 0, 0, 455]"
10,"[0.30143487453460693, 9, 4, 196276]","[0.5933349132537842, 0, 0, 455]"
11,"[0.30228695273399353, 9, 4, 196276]","[0.6161350011825562, 0, 0, 455]"
12,"[0.2951340079307556, 9, 4, 196276]","[0.6087679266929626, 0, 0, 455]"
13,"[0.30493617057800293, 9, 4, 196276]","[0.6012389063835144, 0, 0, 455]"
14,"[0.30039018392562866, 9, 4, 196276]","[0.6316620111465454, 0, 0, 455]"
15,"[0.307613730430603, 9, 4, 196276]","[0.6522482633590698, 0, 0, 455]"
16,"[0.3092992901802063, 9, 4, 196276]","[0.6452510356903076, 0, 0, 455]"
17,"[0.28968822956085205, 9, 4, 196276]","[0.633125364780426, 0, 0, 455]"
18,"[0.32593125104904175, 9, 4, 196276]","[0.6395832300186157, 0, 0, 455]"
19,"[0.3361228108406067, 9, 4, 196276]","[0.685594916343689, 0, 0, 455]"
20,"[0.3311828374862671, 9, 4, 196276]","[0.6670739054679871, 0, 0, 455]"
21,"[0.29936328530311584, 9, 4, 196276]","[0.6956428289413452, 0, 0, 455]"
22,"[0.2994162142276764, 9, 4, 196276]","[0.6292083263397217, 0, 0, 455]"
23,"[0.32192933559417725, 9, 4, 196276]","[0.7026302218437195, 0, 0, 455]"
24,"[0.2826636731624603, 9, 4, 196276]","[0.7116103172302246, 0, 0, 455]"
25,"[0.2932044565677643, 9, 4, 196276]","[0.7222429513931274, 0, 0, 455]"
26,"[0.3010707199573517, 9, 4, 196276]","[0.6977956891059875, 0, 0, 455]"
27,"[0.3426024615764618, 4, 4, 196276]","[0.7275051474571228, 0, 0, 455]"
28,"[0.2949846088886261, 9, 4, 196276]","[0.68867027759552, 0, 0, 455]"
29,"[0.3314305543899536, 4, 4, 196276]","[0.7305393815040588, 0, 0, 455]"
30,"[0.32927200198173523, 9, 4, 196276]","[0.7227163910865784, 0, 0, 455]"
31,"[0.2967224717140198, 9, 4, 196276]","[0.7492015957832336, 0, 0, 455]"
32,"[0.32866883277893066, 9, 4, 196276]","[0.7530756592750549, 0, 0, 455]"
33,"[0.3162807524204254, 9, 4, 196276]","[0.7291513085365295, 0, 0, 455]"
34,"[0.29802563786506653, 9, 4, 196276]","[0.7447888851165771, 0, 0, 455]"
35,"[0.2974053919315338, 9, 4, 196276]","[0.7932111024856567, 0, 0, 455]"
36,"[0.2792770266532898, 9, 4, 196276]","[0.7895727753639221, 0, 0, 455]"
37,"[0.30395373702049255, 9, 4, 196276]","[0.763098418712616, 0, 0, 455]"
38,"[0.29243749380111694, 9, 4, 196276]","[0.7705841660499573, 0, 0, 455]"
39,"[0.2883724570274353, 9, 4, 196276]","[0.8149890899658203, 0, 0, 455]"
40,"[0.27895259857177734, 9, 4, 196276]","[0.815228283405304, 0, 0, 455]"
41,"[0.30338671803474426, 9, 4, 196276]","[0.8157486319541931, 0, 0, 455]"
42,"[0.46845877170562744, 4, 4, 196276]","[0.9119853377342224, 0, 0, 455]"
43,"[0.37165898084640503, 4, 4, 196276]","[0.8587294220924377, 0, 0, 455]"
44,"[0.3511844277381897, 4, 4, 196276]","[0.883715808391571, 0, 0, 455]"
45,"[0.3642301857471466, 4, 4, 196276]","[0.8454688787460327, 0, 0, 455]"
46,"[0.3328089416027069, 9, 4, 196276]","[0.8659825921058655, 0, 0, 455]"
47,"[0.3518141806125641, 4, 4, 196276]","[0.863671600818634, 0, 0, 455]"
48,"[0.31165075302124023, 9, 4, 196276]","[0.883246123790741, 0, 0, 455]"
49,"[0.3610854744911194, 4, 4, 196276]","[0.8663985133171082, 0, 0, 455]"
50,"[0.2661733627319336, 9, 4, 196276]","[0.8912555575370789, 0, 0, 455]"
51,"[0.31795433163642883, 9, 4, 196276]","[0.8653460144996643, 0, 0, 455]"
52,"[0.29228103160858154, 9, 4, 196276]","[0.8756502866744995, 0, 0, 455]"
53,"[0.30674630403518677, 9, 4, 196276]","[0.8908451795578003, 0, 0, 455]"
54,"[0.25260359048843384, 9, 4, 196276]","[0.8834158778190613, 0, 0, 455]"
55,"[0.2896159291267395, 9, 4, 196276]","[0.8533371686935425, 0, 0, 455]"
56,"[0.2798871099948883, 9, 4, 196276]","[0.877136766910553, 0, 0, 455]"
57,"[0.28461432456970215, 9, 4, 196276]","[0.89239901304245, 0, 0, 455]"
58,"[0.2623239755630493, 9, 4, 196276]","[0.8270595073699951, 0, 0, 455]"
59,"[0.28520458936691284, 9, 4, 196276]","[0.8620913028717041, 0, 0, 455]"
60,"[0.25783804059028625, 9, 4, 196276]","[0.8827072381973267, 0, 0, 455]"
61,"[0.2453431636095047, 9, 4, 196276]","[0.8527418971061707, 0, 0, 455]"
62,"[0.2674720287322998, 9, 4, 196276]","[0.8561448454856873, 0, 0, 455]"
63,"[0.24353055655956268, 9, 4, 196276]","[0.8834289908409119, 0, 0, 455]"
64,"[0.23707488179206848, 9, 4, 196276]","[0.8653596639633179, 0, 0, 455]"
65,"[0.28601640462875366, 9, 4, 196276]","[0.8555498123168945, 0, 0, 455]"
66,"[0.24505102634429932, 9, 4, 196276]","[0.8658576607704163, 0, 0, 455]"
67,"[0.2866968810558319, 9, 4, 196276]","[0.8587535619735718, 0, 0, 455]"
68,"[0.23470789194107056, 9, 4, 196276]","[0.8744432926177979, 0, 0, 455]"
69,"[0.24155786633491516, 9, 4, 196276]","[0.8732290863990784, 0, 0, 455]"
70,"[0.20844541490077972, 9, 4, 196276]","[0.8937590718269348, 0, 0, 455]"
71,"[0.2303856909275055, 9, 4, 196276]","[0.8783351182937622, 0, 0, 455]"
72,"[0.21999385952949524, 9, 4, 196276]","[0.9125843644142151, 0, 0, 455]"
73,"[0.19346986711025238, 9, 4, 196276]","[0.8868786096572876, 0, 0, 455]"
74,"[0.21643637120723724, 9, 4, 196276]","[0.9147598147392273, 0, 0, 455]"
75,"[0.24129460752010345, 9, 4, 196276]","[0.8887588977813721, 0, 0, 455]"
76,"[0.1765517294406891, 9, 4, 196276]","[0.9171842932701111, 0, 0, 455]"
77,"[0.18851545453071594, 9, 4, 196276]","[0.9282822012901306, 0, 0, 455]"
78,"[0.168746218085289, 9, 4, 196276]","[0.8945392370223999, 0, 0, 455]"
79,"[0.20372401177883148, 9, 4, 196276]","[0.9441142678260803, 0, 0, 455]"
80,"[0.1938336342573166, 9, 4, 196276]","[0.9037754535675049, 0, 0, 455]"
81,"[0.13891752064228058, 9, 4, 196276]","[0.931669294834137, 0, 0, 455]"
82,"[0.185106098651886, 9, 4, 196276]","[0.9273963570594788, 0, 0, 455]"
83,"[0.18697313964366913, 9, 4, 196276]","[0.9174782037734985, 0, 0, 455]"
84,"[0.18632005155086517, 9, 4, 196276]","[0.8974840044975281, 0, 0, 455]"
85,"[0.1430920660495758, 9, 4, 196276]","[0.9401467442512512, 0, 0, 455]"
