,0,1
0,"[0.1155250295996666, 6, 4, 196276]","[0.07677411288022995, 6, 0, 455]"
1,"[0.04698752239346504, 7, 4, 196276]","[0.05815654993057251, 3, 0, 455]"
2,"[0.04492667317390442, 9, 4, 196276]","[0.0611848384141922, 3, 0, 455]"
3,"[0.04730531573295593, 9, 4, 196276]","[0.06913582235574722, 3, 0, 455]"
4,"[0.04894449934363365, 9, 4, 196276]","[0.08099082857370377, 3, 0, 455]"
5,"[0.05336927995085716, 9, 4, 196276]","[0.10222762823104858, 3, 0, 455]"
6,"[0.053713493049144745, 9, 4, 196276]","[0.11791172623634338, 2, 0, 455]"
7,"[0.05789894983172417, 9, 4, 196276]","[0.12695500254631042, 2, 0, 455]"
8,"[0.060454875230789185, 9, 4, 196276]","[0.1376565843820572, 2, 0, 455]"
9,"[0.06082719936966896, 9, 4, 196276]","[0.14231076836585999, 2, 0, 455]"
10,"[0.06203344836831093, 9, 4, 196276]","[0.14906714856624603, 2, 0, 455]"
11,"[0.06454810500144958, 9, 4, 196276]","[0.15267637372016907, 2, 0, 455]"
12,"[0.0633905678987503, 9, 4, 196276]","[0.1721632331609726, 2, 0, 455]"
13,"[0.06280911713838577, 9, 4, 196276]","[0.16851705312728882, 2, 0, 455]"
14,"[0.0667867511510849, 9, 4, 196276]","[0.17916709184646606, 2, 0, 455]"
15,"[0.06929944455623627, 9, 4, 196276]","[0.18396613001823425, 2, 0, 455]"
16,"[0.07119596004486084, 9, 4, 196276]","[0.19781789183616638, 2, 0, 455]"
17,"[0.0724991038441658, 9, 4, 196276]","[0.20189855992794037, 2, 0, 455]"
18,"[0.07432695478200912, 9, 4, 196276]","[0.2023478001356125, 2, 0, 455]"
19,"[0.07475293427705765, 9, 4, 196276]","[0.20985686779022217, 2, 0, 455]"
20,"[0.07683755457401276, 9, 4, 196276]","[0.21763724088668823, 8, 0, 455]"
21,"[0.07719328999519348, 9, 4, 196276]","[0.2237263023853302, 8, 0, 455]"
22,"[0.0799219012260437, 9, 4, 196276]","[0.22844675183296204, 8, 0, 455]"
23,"[0.08569490164518356, 9, 4, 196276]","[0.22737707197666168, 8, 0, 455]"
24,"[0.08871020376682281, 9, 4, 196276]","[0.22831447422504425, 8, 0, 455]"
25,"[0.08669411391019821, 9, 4, 196276]","[0.24347899854183197, 8, 0, 455]"
26,"[0.09115925431251526, 9, 4, 196276]","[0.24278445541858673, 8, 0, 455]"
27,"[0.08739464730024338, 9, 4, 196276]","[0.25009188055992126, 8, 0, 455]"
