,0,1
0,"[0.0803869217634201, 2, 4, 68669]","[0.11406417191028595, 2, 6, 121435]"
1,"[0.110430046916008, 2, 4, 68669]","[0.13410478830337524, 2, 6, 121435]"
2,"[0.14064617455005646, 4, 4, 68669]","[0.1578870415687561, 6, 6, 121435]"
3,"[0.17876869440078735, 4, 4, 68669]","[0.19398987293243408, 6, 6, 121435]"
4,"[0.2262369692325592, 4, 4, 68669]","[0.23776082694530487, 6, 6, 121435]"
5,"[0.27871838212013245, 4, 4, 68669]","[0.28362837433815, 6, 6, 121435]"
6,"[0.3407672047615051, 4, 4, 68669]","[0.3353731334209442, 6, 6, 121435]"
7,"[0.4138246178627014, 4, 4, 68669]","[0.3902514576911926, 6, 6, 121435]"
8,"[0.48358669877052307, 4, 4, 68669]","[0.44394832849502563, 6, 6, 121435]"
9,"[0.551733672618866, 4, 4, 68669]","[0.4963076710700989, 6, 6, 121435]"
10,"[0.6113086342811584, 4, 4, 68669]","[0.5492687225341797, 6, 6, 121435]"
11,"[0.6611562967300415, 4, 4, 68669]","[0.5979117751121521, 6, 6, 121435]"
12,"[0.7030326128005981, 4, 4, 68669]","[0.6414338946342468, 6, 6, 121435]"
13,"[0.7360785007476807, 4, 4, 68669]","[0.6781808137893677, 6, 6, 121435]"
14,"[0.761817455291748, 4, 4, 68669]","[0.7089651226997375, 6, 6, 121435]"
15,"[0.7803348302841187, 4, 4, 68669]","[0.7339179515838623, 6, 6, 121435]"
16,"[0.7961640954017639, 4, 4, 68669]","[0.7537934184074402, 6, 6, 121435]"
17,"[0.8074016571044922, 4, 4, 68669]","[0.7690197229385376, 6, 6, 121435]"
18,"[0.8179642558097839, 4, 4, 68669]","[0.7815813422203064, 6, 6, 121435]"
19,"[0.8263389468193054, 4, 4, 68669]","[0.7911381125450134, 6, 6, 121435]"
20,"[0.8339373469352722, 4, 4, 68669]","[0.7990620732307434, 6, 6, 121435]"
21,"[0.8387246131896973, 4, 4, 68669]","[0.8051522970199585, 6, 6, 121435]"
22,"[0.8429313898086548, 4, 4, 68669]","[0.8100267648696899, 6, 6, 121435]"
23,"[0.8467298746109009, 4, 4, 68669]","[0.8148879408836365, 6, 6, 121435]"
24,"[0.8514603972434998, 4, 4, 68669]","[0.817191481590271, 6, 6, 121435]"
25,"[0.8558290004730225, 4, 4, 68669]","[0.8189607858657837, 6, 6, 121435]"
26,"[0.8594208359718323, 4, 4, 68669]","[0.8205422163009644, 6, 6, 121435]"
27,"[0.8637936115264893, 4, 4, 68669]","[0.8214960694313049, 6, 6, 121435]"
28,"[0.8654344081878662, 4, 4, 68669]","[0.8214203119277954, 6, 6, 121435]"
29,"[0.8689392805099487, 4, 4, 68669]","[0.8214510679244995, 6, 6, 121435]"
