,0,1
0,"[0.6190298795700073, 0, 0, 89006]","[0.7255215644836426, 2, 2, 189655]"
1,"[0.6137024760246277, 0, 0, 89006]","[0.7033753991127014, 2, 2, 189655]"
2,"[0.6078094244003296, 0, 0, 89006]","[0.70664381980896, 2, 2, 189655]"
3,"[0.6087121367454529, 0, 0, 89006]","[0.6941227912902832, 2, 2, 189655]"
4,"[0.6144493222236633, 0, 0, 89006]","[0.6776397228240967, 2, 2, 189655]"
5,"[0.6172688007354736, 0, 0, 89006]","[0.6704531311988831, 2, 2, 189655]"
6,"[0.6166920065879822, 0, 0, 89006]","[0.6662837266921997, 2, 2, 189655]"
7,"[0.6175953149795532, 0, 0, 89006]","[0.6643468737602234, 2, 2, 189655]"
8,"[0.6140156984329224, 0, 0, 89006]","[0.6605259776115417, 2, 2, 189655]"
9,"[0.6068033576011658, 0, 0, 89006]","[0.6550706028938293, 2, 2, 189655]"
10,"[0.6046406626701355, 0, 0, 89006]","[0.6514393091201782, 2, 2, 189655]"
11,"[0.5995268821716309, 0, 0, 89006]","[0.6537864208221436, 2, 2, 189655]"
12,"[0.5996291637420654, 0, 0, 89006]","[0.6547189950942993, 2, 2, 189655]"
13,"[0.5984686017036438, 0, 0, 89006]","[0.6579983234405518, 2, 2, 189655]"
14,"[0.5983538627624512, 0, 0, 89006]","[0.6532778143882751, 2, 2, 189655]"
15,"[0.6066960096359253, 0, 0, 89006]","[0.6486669182777405, 2, 2, 189655]"
16,"[0.6058703064918518, 0, 0, 89006]","[0.6619932055473328, 2, 2, 189655]"
17,"[0.6119104623794556, 0, 0, 89006]","[0.6599515676498413, 2, 2, 189655]"
18,"[0.6132369637489319, 0, 0, 89006]","[0.664060115814209, 2, 2, 189655]"
19,"[0.6109697818756104, 0, 0, 89006]","[0.6686108112335205, 2, 2, 189655]"
20,"[0.6164650321006775, 0, 0, 89006]","[0.685260534286499, 2, 2, 189655]"
21,"[0.6001043319702148, 0, 0, 89006]","[0.7069032788276672, 2, 2, 189655]"
22,"[0.6010992527008057, 0, 0, 89006]","[0.7195111513137817, 2, 2, 189655]"
23,"[0.5957006216049194, 0, 0, 89006]","[0.7223727703094482, 2, 2, 189655]"
24,"[0.5921168923377991, 0, 0, 89006]","[0.7218824028968811, 2, 2, 189655]"
25,"[0.5818783044815063, 0, 0, 89006]","[0.7193743586540222, 2, 2, 189655]"
26,"[0.5893198251724243, 0, 0, 89006]","[0.7257912755012512, 2, 2, 189655]"
27,"[0.5906273722648621, 0, 0, 89006]","[0.6937781572341919, 2, 2, 189655]"
28,"[0.593754231929779, 0, 0, 89006]","[0.6784653663635254, 2, 2, 189655]"
29,"[0.5904040932655334, 0, 0, 89006]","[0.6581990122795105, 2, 2, 189655]"
30,"[0.5857122540473938, 0, 0, 89006]","[0.652533233165741, 2, 2, 189655]"
31,"[0.5876920819282532, 0, 0, 89006]","[0.6459322571754456, 2, 2, 189655]"
32,"[0.5939940214157104, 0, 0, 89006]","[0.6314521431922913, 2, 2, 189655]"
33,"[0.58417809009552, 0, 0, 89006]","[0.6355205178260803, 2, 2, 189655]"
34,"[0.5877692699432373, 0, 0, 89006]","[0.6415286064147949, 2, 2, 189655]"
35,"[0.5920467376708984, 0, 0, 89006]","[0.6512652039527893, 2, 2, 189655]"
36,"[0.5884670615196228, 0, 0, 89006]","[0.6613567471504211, 2, 2, 189655]"
37,"[0.5757204294204712, 0, 0, 89006]","[0.6642343997955322, 2, 2, 189655]"
38,"[0.5808164477348328, 0, 0, 89006]","[0.6863184571266174, 2, 2, 189655]"
39,"[0.5681959390640259, 0, 0, 89006]","[0.6887611150741577, 2, 2, 189655]"
40,"[0.5781409740447998, 0, 0, 89006]","[0.6822996139526367, 2, 2, 189655]"
41,"[0.5807704329490662, 0, 0, 89006]","[0.6710799932479858, 2, 2, 189655]"
42,"[0.6140533685684204, 0, 0, 89006]","[0.7209783792495728, 2, 2, 189655]"
43,"[0.6292327642440796, 0, 0, 89006]","[0.7085421085357666, 2, 2, 189655]"
44,"[0.6389369964599609, 0, 0, 89006]","[0.7007361054420471, 2, 2, 189655]"
45,"[0.6366990208625793, 0, 0, 89006]","[0.6782771944999695, 2, 2, 189655]"
46,"[0.6334484815597534, 0, 0, 89006]","[0.6799740791320801, 2, 2, 189655]"
