,0,1
0,"[0.7354076504707336, 3, 3, 135040]","[0.6114414930343628, 3, 3, 144455]"
1,"[0.5555314421653748, 3, 3, 135040]","[0.3650353252887726, 3, 3, 144455]"
2,"[0.5532280802726746, 3, 3, 135040]","[0.35858920216560364, 5, 3, 144455]"
3,"[0.5474990010261536, 3, 3, 135040]","[0.33251121640205383, 5, 3, 144455]"
4,"[0.5130693912506104, 3, 3, 135040]","[0.30488553643226624, 5, 3, 144455]"
5,"[0.5087525248527527, 3, 3, 135040]","[0.3134874999523163, 5, 3, 144455]"
6,"[0.5166546702384949, 3, 3, 135040]","[0.29871538281440735, 5, 3, 144455]"
7,"[0.4984700679779053, 3, 3, 135040]","[0.29728102684020996, 5, 3, 144455]"
8,"[0.49721747636795044, 3, 3, 135040]","[0.29146718978881836, 5, 3, 144455]"
9,"[0.46615198254585266, 5, 3, 135040]","[0.28448301553726196, 5, 3, 144455]"
10,"[0.4714657962322235, 5, 3, 135040]","[0.28326472640037537, 5, 3, 144455]"
11,"[0.4615187644958496, 5, 3, 135040]","[0.2745015025138855, 5, 3, 144455]"
12,"[0.45097821950912476, 5, 3, 135040]","[0.2694080173969269, 5, 3, 144455]"
13,"[0.43647897243499756, 5, 3, 135040]","[0.25455889105796814, 5, 3, 144455]"
14,"[0.43937498331069946, 5, 3, 135040]","[0.26686686277389526, 5, 3, 144455]"
15,"[0.41627439856529236, 5, 3, 135040]","[0.25622981786727905, 5, 3, 144455]"
16,"[0.41261133551597595, 5, 3, 135040]","[0.24019275605678558, 5, 3, 144455]"
17,"[0.39110180735588074, 5, 3, 135040]","[0.24122101068496704, 5, 3, 144455]"
18,"[0.3829312324523926, 5, 3, 135040]","[0.24671640992164612, 5, 3, 144455]"
19,"[0.3757428824901581, 5, 3, 135040]","[0.24782799184322357, 5, 3, 144455]"
20,"[0.37541764974594116, 5, 3, 135040]","[0.24979561567306519, 5, 3, 144455]"
21,"[0.3623538613319397, 5, 3, 135040]","[0.2294972538948059, 5, 3, 144455]"
22,"[0.35839226841926575, 5, 3, 135040]","[0.22566473484039307, 5, 3, 144455]"
23,"[0.34281277656555176, 5, 3, 135040]","[0.230446457862854, 5, 3, 144455]"
24,"[0.33390358090400696, 5, 3, 135040]","[0.21823810040950775, 5, 3, 144455]"
25,"[0.3400157392024994, 5, 3, 135040]","[0.21188588440418243, 5, 3, 144455]"
26,"[0.3175703287124634, 5, 3, 135040]","[0.2117162048816681, 5, 3, 144455]"
27,"[0.30744072794914246, 5, 3, 135040]","[0.21077176928520203, 5, 3, 144455]"
28,"[0.30291563272476196, 5, 3, 135040]","[0.1867646723985672, 5, 3, 144455]"
29,"[0.29643189907073975, 5, 3, 135040]","[0.19546851515769958, 5, 3, 144455]"
30,"[0.3004489839076996, 5, 3, 135040]","[0.18569356203079224, 5, 3, 144455]"
31,"[0.2580023407936096, 5, 3, 135040]","[0.1780540943145752, 5, 3, 144455]"
32,"[0.2768864929676056, 5, 3, 135040]","[0.17672336101531982, 5, 3, 144455]"
33,"[0.23837462067604065, 5, 3, 135040]","[0.16965414583683014, 5, 3, 144455]"
34,"[0.26483669877052307, 5, 3, 135040]","[0.18404620885849, 5, 3, 144455]"
35,"[0.23162300884723663, 5, 3, 135040]","[0.17273813486099243, 5, 3, 144455]"
36,"[0.23685148358345032, 5, 3, 135040]","[0.16427016258239746, 5, 3, 144455]"
37,"[0.23502755165100098, 5, 3, 135040]","[0.16094648838043213, 5, 3, 144455]"
38,"[0.22386643290519714, 5, 3, 135040]","[0.15333957970142365, 5, 3, 144455]"
39,"[0.1914861500263214, 5, 3, 135040]","[0.14448395371437073, 5, 3, 144455]"
40,"[0.19884304702281952, 5, 3, 135040]","[0.13916714489459991, 5, 3, 144455]"
41,"[0.16226260364055634, 5, 3, 135040]","[0.13537563383579254, 5, 3, 144455]"
42,"[0.3237760424613953, 3, 3, 135040]","[0.5657102465629578, 3, 3, 144455]"
43,"[0.4808703541755676, 3, 3, 135040]","[0.5789969563484192, 3, 3, 144455]"
44,"[0.4081830263137817, 3, 3, 135040]","[0.46292656660079956, 3, 3, 144455]"
45,"[0.449771249294281, 3, 3, 135040]","[0.42801225185394287, 5, 3, 144455]"
46,"[0.4657788515090942, 3, 3, 135040]","[0.41177898645401, 5, 3, 144455]"
47,"[0.3026715993881226, 3, 3, 135040]","[0.4034574627876282, 5, 3, 144455]"
48,"[0.4638119578361511, 3, 3, 135040]","[0.4079548120498657, 5, 3, 144455]"
49,"[0.4155791640281677, 3, 3, 135040]","[0.38551515340805054, 5, 3, 144455]"
50,"[0.4464097261428833, 3, 3, 135040]","[0.40079063177108765, 5, 3, 144455]"
51,"[0.4336948037147522, 3, 3, 135040]","[0.3786623179912567, 5, 3, 144455]"
52,"[0.5082361102104187, 3, 3, 135040]","[0.37480583786964417, 5, 3, 144455]"
53,"[0.5172353386878967, 3, 3, 135040]","[0.36900728940963745, 5, 3, 144455]"
54,"[0.5134017467498779, 3, 3, 135040]","[0.36954978108406067, 5, 3, 144455]"
55,"[0.48966148495674133, 5, 3, 135040]","[0.375142365694046, 5, 3, 144455]"
56,"[0.4732717275619507, 5, 3, 135040]","[0.36076977849006653, 5, 3, 144455]"
57,"[0.48008036613464355, 5, 3, 135040]","[0.34191492199897766, 5, 3, 144455]"
58,"[0.5116281509399414, 3, 3, 135040]","[0.3880350887775421, 5, 3, 144455]"
59,"[0.46190470457077026, 5, 3, 135040]","[0.31256017088890076, 5, 3, 144455]"
60,"[0.4666502773761749, 5, 3, 135040]","[0.361105740070343, 5, 3, 144455]"
61,"[0.45853865146636963, 5, 3, 135040]","[0.3158252537250519, 5, 3, 144455]"
62,"[0.4684501886367798, 5, 3, 135040]","[0.3416946232318878, 5, 3, 144455]"
63,"[0.45936042070388794, 5, 3, 135040]","[0.30629152059555054, 5, 3, 144455]"
64,"[0.4916917085647583, 5, 3, 135040]","[0.33805304765701294, 5, 3, 144455]"
65,"[0.4281313419342041, 5, 3, 135040]","[0.3051501512527466, 5, 3, 144455]"
66,"[0.47373366355895996, 5, 3, 135040]","[0.33264073729515076, 5, 3, 144455]"
