,0,1
0,"[0.133617103099823, 3, 3, 135040]","[0.10066334903240204, 0, 3, 144455]"
1,"[0.17205744981765747, 5, 3, 135040]","[0.24806958436965942, 5, 3, 144455]"
2,"[0.24249130487442017, 5, 3, 135040]","[0.4171968996524811, 3, 3, 144455]"
3,"[0.280037522315979, 5, 3, 135040]","[0.48789182305336, 3, 3, 144455]"
4,"[0.2988826334476471, 5, 3, 135040]","[0.5123240947723389, 3, 3, 144455]"
5,"[0.3288557827472687, 5, 3, 135040]","[0.5394044518470764, 3, 3, 144455]"
6,"[0.3331785202026367, 5, 3, 135040]","[0.5371813178062439, 3, 3, 144455]"
7,"[0.3345258831977844, 5, 3, 135040]","[0.5420054197311401, 3, 3, 144455]"
8,"[0.34009769558906555, 5, 3, 135040]","[0.5437157154083252, 3, 3, 144455]"
9,"[0.33559560775756836, 5, 3, 135040]","[0.5456743836402893, 3, 3, 144455]"
10,"[0.3353978395462036, 5, 3, 135040]","[0.5410436391830444, 3, 3, 144455]"
11,"[0.33792537450790405, 5, 3, 135040]","[0.5429525375366211, 3, 3, 144455]"
12,"[0.33240723609924316, 5, 3, 135040]","[0.5408608317375183, 3, 3, 144455]"
13,"[0.3281499445438385, 5, 3, 135040]","[0.5410606265068054, 3, 3, 144455]"
14,"[0.34976962208747864, 5, 3, 135040]","[0.5487380027770996, 3, 3, 144455]"
15,"[0.34118589758872986, 5, 3, 135040]","[0.5437169671058655, 3, 3, 144455]"
16,"[0.34611913561820984, 5, 3, 135040]","[0.5473990440368652, 3, 3, 144455]"
17,"[0.3513556718826294, 5, 3, 135040]","[0.5469042658805847, 3, 3, 144455]"
18,"[0.3567953407764435, 5, 3, 135040]","[0.5411598086357117, 3, 3, 144455]"
19,"[0.3559301197528839, 5, 3, 135040]","[0.5399535894393921, 3, 3, 144455]"
20,"[0.3593749403953552, 5, 3, 135040]","[0.5438215732574463, 3, 3, 144455]"
21,"[0.3640922009944916, 5, 3, 135040]","[0.5425496697425842, 3, 3, 144455]"
22,"[0.37309521436691284, 5, 3, 135040]","[0.5385603308677673, 3, 3, 144455]"
23,"[0.37417685985565186, 5, 3, 135040]","[0.5396926403045654, 3, 3, 144455]"
24,"[0.37829869985580444, 5, 3, 135040]","[0.5314757227897644, 3, 3, 144455]"
25,"[0.3754868805408478, 5, 3, 135040]","[0.5277813076972961, 3, 3, 144455]"
26,"[0.3833385109901428, 5, 3, 135040]","[0.528796911239624, 3, 3, 144455]"
27,"[0.3808608651161194, 5, 3, 135040]","[0.5234401822090149, 3, 3, 144455]"
28,"[0.3954543173313141, 5, 3, 135040]","[0.5292629599571228, 3, 3, 144455]"
29,"[0.39297428727149963, 5, 3, 135040]","[0.5257571339607239, 3, 3, 144455]"
30,"[0.4005609154701233, 5, 3, 135040]","[0.5274236798286438, 3, 3, 144455]"
31,"[0.4058496952056885, 5, 3, 135040]","[0.5251070261001587, 3, 3, 144455]"
32,"[0.4063224494457245, 5, 3, 135040]","[0.5250504612922668, 3, 3, 144455]"
33,"[0.3994646966457367, 5, 3, 135040]","[0.5256106853485107, 3, 3, 144455]"
34,"[0.40578994154930115, 5, 3, 135040]","[0.5243308544158936, 3, 3, 144455]"
35,"[0.4117051362991333, 5, 3, 135040]","[0.527461588382721, 3, 3, 144455]"
36,"[0.4173700213432312, 5, 3, 135040]","[0.5235689878463745, 3, 3, 144455]"
37,"[0.4144400954246521, 5, 3, 135040]","[0.5176185369491577, 3, 3, 144455]"
38,"[0.427391916513443, 5, 3, 135040]","[0.5160509347915649, 3, 3, 144455]"
39,"[0.4321364760398865, 5, 3, 135040]","[0.5185865163803101, 3, 3, 144455]"
40,"[0.44596174359321594, 5, 3, 135040]","[0.5181527733802795, 3, 3, 144455]"
41,"[0.4578262269496918, 5, 3, 135040]","[0.5265482664108276, 3, 3, 144455]"
42,"[0.4518352150917053, 5, 3, 135040]","[0.5093134641647339, 3, 3, 144455]"
43,"[0.46930018067359924, 5, 3, 135040]","[0.514535129070282, 3, 3, 144455]"
44,"[0.4730346202850342, 5, 3, 135040]","[0.5085670948028564, 3, 3, 144455]"
45,"[0.4741967022418976, 5, 3, 135040]","[0.5073270201683044, 3, 3, 144455]"
46,"[0.48952487111091614, 3, 3, 135040]","[0.5072880983352661, 3, 3, 144455]"
