,0,1
0,"[0.9999020099639893, 6, 6, 119511]","[0.7825711369514465, 8, 8, 95776]"
1,"[0.9996042847633362, 6, 6, 119511]","[0.6451078057289124, 8, 8, 95776]"
2,"[0.999843955039978, 6, 6, 119511]","[0.686489462852478, 8, 8, 95776]"
3,"[0.9998636245727539, 6, 6, 119511]","[0.6753373742103577, 8, 8, 95776]"
4,"[0.999871015548706, 6, 6, 119511]","[0.6146092414855957, 8, 8, 95776]"
5,"[0.9998770952224731, 6, 6, 119511]","[0.6074129939079285, 8, 8, 95776]"
6,"[0.9998482465744019, 6, 6, 119511]","[0.626484751701355, 8, 8, 95776]"
7,"[0.9998570680618286, 6, 6, 119511]","[0.6059804558753967, 8, 8, 95776]"
8,"[0.9998526573181152, 6, 6, 119511]","[0.6329573392868042, 8, 8, 95776]"
9,"[0.999860405921936, 6, 6, 119511]","[0.6409655809402466, 8, 8, 95776]"
10,"[0.999861478805542, 6, 6, 119511]","[0.5866101384162903, 8, 8, 95776]"
11,"[0.9998787641525269, 6, 6, 119511]","[0.6163459420204163, 8, 8, 95776]"
12,"[0.9998974800109863, 6, 6, 119511]","[0.5698765516281128, 8, 8, 95776]"
13,"[0.9998779296875, 6, 6, 119511]","[0.5534125566482544, 8, 8, 95776]"
14,"[0.9998849630355835, 6, 6, 119511]","[0.5510225892066956, 8, 8, 95776]"
15,"[0.999914288520813, 6, 6, 119511]","[0.5254830121994019, 8, 8, 95776]"
16,"[0.9999006986618042, 6, 6, 119511]","[0.5281546115875244, 8, 8, 95776]"
17,"[0.9999324083328247, 6, 6, 119511]","[0.5518516302108765, 8, 8, 95776]"
18,"[0.9999105930328369, 6, 6, 119511]","[0.5286585688591003, 8, 8, 95776]"
19,"[0.9999188184738159, 6, 6, 119511]","[0.5572384595870972, 8, 8, 95776]"
20,"[0.9999133348464966, 6, 6, 119511]","[0.5087065696716309, 8, 8, 95776]"
21,"[0.999921441078186, 6, 6, 119511]","[0.45650815963745117, 0, 8, 95776]"
22,"[0.9999232292175293, 6, 6, 119511]","[0.4470243752002716, 0, 8, 95776]"
23,"[0.9999312162399292, 6, 6, 119511]","[0.3756517767906189, 0, 8, 95776]"
24,"[0.9999191761016846, 6, 6, 119511]","[0.3662051856517792, 0, 8, 95776]"
25,"[0.9999427795410156, 6, 6, 119511]","[0.3318875730037689, 0, 8, 95776]"
26,"[0.9999140501022339, 6, 6, 119511]","[0.30264201760292053, 0, 8, 95776]"
27,"[0.9999402761459351, 6, 6, 119511]","[0.3201320171356201, 0, 8, 95776]"
28,"[0.9999343156814575, 6, 6, 119511]","[0.29909053444862366, 0, 8, 95776]"
29,"[0.99993896484375, 6, 6, 119511]","[0.24369075894355774, 0, 8, 95776]"
30,"[0.9999278783798218, 6, 6, 119511]","[0.2640951871871948, 0, 8, 95776]"
31,"[0.999951958656311, 6, 6, 119511]","[0.18874722719192505, 0, 8, 95776]"
32,"[0.9999374151229858, 6, 6, 119511]","[0.22424235939979553, 0, 8, 95776]"
33,"[0.9999516010284424, 6, 6, 119511]","[0.2355300784111023, 0, 8, 95776]"
34,"[0.9999468326568604, 6, 6, 119511]","[0.2009059637784958, 0, 8, 95776]"
35,"[0.9999436140060425, 6, 6, 119511]","[0.18054533004760742, 0, 8, 95776]"
36,"[0.9999558925628662, 6, 6, 119511]","[0.19097357988357544, 0, 8, 95776]"
37,"[0.9999603033065796, 6, 6, 119511]","[0.1750483363866806, 0, 8, 95776]"
38,"[0.9999608993530273, 6, 6, 119511]","[0.1764792650938034, 0, 8, 95776]"
39,"[0.9999639987945557, 6, 6, 119511]","[0.1339760720729828, 0, 8, 95776]"
40,"[0.9999691247940063, 6, 6, 119511]","[0.12112348526716232, 0, 8, 95776]"
41,"[0.9999747276306152, 6, 6, 119511]","[0.12784142792224884, 0, 8, 95776]"
42,"[0.9999769926071167, 6, 6, 119511]","[0.259339302778244, 0, 8, 95776]"
43,"[0.9999649524688721, 6, 6, 119511]","[0.3556661605834961, 0, 8, 95776]"
44,"[0.9999815225601196, 6, 6, 119511]","[0.2734755873680115, 0, 8, 95776]"
45,"[0.9999746084213257, 6, 6, 119511]","[0.26274043321609497, 0, 8, 95776]"
46,"[0.999974250793457, 6, 6, 119511]","[0.25181424617767334, 0, 8, 95776]"
47,"[0.9999758005142212, 6, 6, 119511]","[0.30037668347358704, 0, 8, 95776]"
48,"[0.9999809265136719, 6, 6, 119511]","[0.26440492272377014, 0, 8, 95776]"
49,"[0.9999825954437256, 6, 6, 119511]","[0.24025967717170715, 0, 8, 95776]"
50,"[0.9999877214431763, 6, 6, 119511]","[0.2730545401573181, 0, 8, 95776]"
51,"[0.9999839067459106, 6, 6, 119511]","[0.24248437583446503, 0, 8, 95776]"
52,"[0.9999853372573853, 6, 6, 119511]","[0.24343304336071014, 0, 8, 95776]"
53,"[0.9999876022338867, 6, 6, 119511]","[0.22318075597286224, 0, 8, 95776]"
54,"[0.999988317489624, 6, 6, 119511]","[0.23293954133987427, 0, 8, 95776]"
