,0,1
0,"[0.07946329563856125, 3, 6, 119511]","[0.0755416676402092, 2, 8, 95776]"
1,"[0.9290853142738342, 6, 6, 119511]","[0.511877715587616, 8, 8, 95776]"
2,"[0.9590583443641663, 6, 6, 119511]","[0.4666191637516022, 8, 8, 95776]"
3,"[0.9571436643600464, 6, 6, 119511]","[0.4723544120788574, 8, 8, 95776]"
4,"[0.9544190168380737, 6, 6, 119511]","[0.3927638530731201, 0, 8, 95776]"
5,"[0.9524815678596497, 6, 6, 119511]","[0.40079256892204285, 8, 8, 95776]"
6,"[0.953190267086029, 6, 6, 119511]","[0.40924072265625, 8, 8, 95776]"
7,"[0.9571037888526917, 6, 6, 119511]","[0.4053806662559509, 0, 8, 95776]"
8,"[0.9583231806755066, 6, 6, 119511]","[0.3912866413593292, 0, 8, 95776]"
9,"[0.9587722420692444, 6, 6, 119511]","[0.4321286678314209, 8, 8, 95776]"
10,"[0.959589958190918, 6, 6, 119511]","[0.43519526720046997, 8, 8, 95776]"
11,"[0.9609817862510681, 6, 6, 119511]","[0.44373950362205505, 8, 8, 95776]"
12,"[0.9611762166023254, 6, 6, 119511]","[0.4350082278251648, 8, 8, 95776]"
13,"[0.9629492163658142, 6, 6, 119511]","[0.42575639486312866, 0, 8, 95776]"
14,"[0.9661592245101929, 6, 6, 119511]","[0.4330286979675293, 0, 8, 95776]"
15,"[0.9647443294525146, 6, 6, 119511]","[0.43818244338035583, 0, 8, 95776]"
16,"[0.9728931784629822, 6, 6, 119511]","[0.43035343289375305, 0, 8, 95776]"
17,"[0.9726807475090027, 6, 6, 119511]","[0.4498136043548584, 0, 8, 95776]"
18,"[0.9709690809249878, 6, 6, 119511]","[0.4423743784427643, 0, 8, 95776]"
19,"[0.9749752283096313, 6, 6, 119511]","[0.43058767914772034, 0, 8, 95776]"
20,"[0.9743078947067261, 6, 6, 119511]","[0.4674980938434601, 8, 8, 95776]"
21,"[0.9761542677879333, 6, 6, 119511]","[0.4332553446292877, 0, 8, 95776]"
22,"[0.9784704446792603, 6, 6, 119511]","[0.45988568663597107, 0, 8, 95776]"
23,"[0.9804776310920715, 6, 6, 119511]","[0.43686342239379883, 0, 8, 95776]"
24,"[0.981533944606781, 6, 6, 119511]","[0.47428157925605774, 8, 8, 95776]"
25,"[0.9811903238296509, 6, 6, 119511]","[0.4820763170719147, 8, 8, 95776]"
26,"[0.983044445514679, 6, 6, 119511]","[0.46050894260406494, 0, 8, 95776]"
27,"[0.9847443699836731, 6, 6, 119511]","[0.5106003284454346, 8, 8, 95776]"
28,"[0.9835520386695862, 6, 6, 119511]","[0.47842270135879517, 0, 8, 95776]"
29,"[0.98450767993927, 6, 6, 119511]","[0.48792722821235657, 8, 8, 95776]"
30,"[0.9864320158958435, 6, 6, 119511]","[0.5043152570724487, 8, 8, 95776]"
31,"[0.9876865148544312, 6, 6, 119511]","[0.5251151919364929, 8, 8, 95776]"
32,"[0.9876725077629089, 6, 6, 119511]","[0.5362926721572876, 8, 8, 95776]"
33,"[0.9884604215621948, 6, 6, 119511]","[0.520327091217041, 8, 8, 95776]"
34,"[0.989667534828186, 6, 6, 119511]","[0.5780338644981384, 8, 8, 95776]"
35,"[0.9889768958091736, 6, 6, 119511]","[0.5456514358520508, 8, 8, 95776]"
36,"[0.9887166023254395, 6, 6, 119511]","[0.5573320984840393, 8, 8, 95776]"
37,"[0.9900152087211609, 6, 6, 119511]","[0.5408421158790588, 8, 8, 95776]"
38,"[0.9896159172058105, 6, 6, 119511]","[0.5615909695625305, 8, 8, 95776]"
39,"[0.9896787405014038, 6, 6, 119511]","[0.5767022967338562, 8, 8, 95776]"
40,"[0.9905579090118408, 6, 6, 119511]","[0.5630748867988586, 8, 8, 95776]"
41,"[0.9918649792671204, 6, 6, 119511]","[0.5706450343132019, 8, 8, 95776]"
42,"[0.9906704425811768, 6, 6, 119511]","[0.590765118598938, 8, 8, 95776]"
43,"[0.9919014573097229, 6, 6, 119511]","[0.605102002620697, 8, 8, 95776]"
44,"[0.9919564723968506, 6, 6, 119511]","[0.599101185798645, 8, 8, 95776]"
45,"[0.9919543862342834, 6, 6, 119511]","[0.599480390548706, 8, 8, 95776]"
46,"[0.9921329617500305, 6, 6, 119511]","[0.613032877445221, 8, 8, 95776]"
47,"[0.9921385645866394, 6, 6, 119511]","[0.5882835388183594, 8, 8, 95776]"
48,"[0.9925791621208191, 6, 6, 119511]","[0.6462470293045044, 8, 8, 95776]"
49,"[0.9927517175674438, 6, 6, 119511]","[0.654333770275116, 8, 8, 95776]"
50,"[0.992990255355835, 6, 6, 119511]","[0.6488087177276611, 8, 8, 95776]"
51,"[0.9930319786071777, 6, 6, 119511]","[0.6215241551399231, 8, 8, 95776]"
52,"[0.9937843084335327, 6, 6, 119511]","[0.6372745633125305, 8, 8, 95776]"
53,"[0.9937759637832642, 6, 6, 119511]","[0.6319026947021484, 8, 8, 95776]"
54,"[0.9936688542366028, 6, 6, 119511]","[0.6575580835342407, 8, 8, 95776]"
55,"[0.9938390851020813, 6, 6, 119511]","[0.6601689457893372, 8, 8, 95776]"
56,"[0.994206428527832, 6, 6, 119511]","[0.6768878698348999, 8, 8, 95776]"
57,"[0.9943388104438782, 6, 6, 119511]","[0.6896579265594482, 8, 8, 95776]"
58,"[0.995020866394043, 6, 6, 119511]","[0.6669616103172302, 8, 8, 95776]"
59,"[0.9946470856666565, 6, 6, 119511]","[0.6635916233062744, 8, 8, 95776]"
60,"[0.9952436089515686, 6, 6, 119511]","[0.684069812297821, 8, 8, 95776]"
61,"[0.9950482249259949, 6, 6, 119511]","[0.6738340258598328, 8, 8, 95776]"
62,"[0.9949929118156433, 6, 6, 119511]","[0.7243630886077881, 8, 8, 95776]"
63,"[0.9951713681221008, 6, 6, 119511]","[0.6691970229148865, 8, 8, 95776]"
64,"[0.995762825012207, 6, 6, 119511]","[0.7021922469139099, 8, 8, 95776]"
65,"[0.996145486831665, 6, 6, 119511]","[0.6963653564453125, 8, 8, 95776]"
66,"[0.9964548349380493, 6, 6, 119511]","[0.7028892636299133, 8, 8, 95776]"
67,"[0.9965303540229797, 6, 6, 119511]","[0.684849739074707, 8, 8, 95776]"
68,"[0.9962601661682129, 6, 6, 119511]","[0.6793031096458435, 8, 8, 95776]"
69,"[0.9962745904922485, 6, 6, 119511]","[0.6940039396286011, 8, 8, 95776]"
70,"[0.9967849254608154, 6, 6, 119511]","[0.7347441911697388, 8, 8, 95776]"
71,"[0.9968836903572083, 6, 6, 119511]","[0.7037627696990967, 8, 8, 95776]"
72,"[0.9966813921928406, 6, 6, 119511]","[0.7066324949264526, 8, 8, 95776]"
73,"[0.9963670969009399, 6, 6, 119511]","[0.7145671844482422, 8, 8, 95776]"
74,"[0.9967177510261536, 6, 6, 119511]","[0.7362579703330994, 8, 8, 95776]"
75,"[0.9969105124473572, 6, 6, 119511]","[0.6966334581375122, 8, 8, 95776]"
76,"[0.9972348809242249, 6, 6, 119511]","[0.6754902005195618, 8, 8, 95776]"
77,"[0.9970536231994629, 6, 6, 119511]","[0.6990744471549988, 8, 8, 95776]"
78,"[0.9969801306724548, 6, 6, 119511]","[0.6981788277626038, 8, 8, 95776]"
79,"[0.9975113868713379, 6, 6, 119511]","[0.7384463548660278, 8, 8, 95776]"
