,0,1
0,"[0.5200954675674438, 5, 5, 156530]","[0.41402366757392883, 3, 3, 180754]"
1,"[0.2396087795495987, 2, 5, 156530]","[0.16346323490142822, 5, 3, 180754]"
2,"[0.21257121860980988, 2, 5, 156530]","[0.14613109827041626, 5, 3, 180754]"
3,"[0.18567506968975067, 2, 5, 156530]","[0.14838968217372894, 5, 3, 180754]"
4,"[0.1755867898464203, 2, 5, 156530]","[0.13572323322296143, 5, 3, 180754]"
5,"[0.15199071168899536, 2, 5, 156530]","[0.12175432592630386, 5, 3, 180754]"
6,"[0.15873616933822632, 2, 5, 156530]","[0.10588879138231277, 5, 3, 180754]"
7,"[0.14011076092720032, 2, 5, 156530]","[0.1016276404261589, 5, 3, 180754]"
8,"[0.1345026046037674, 2, 5, 156530]","[0.10056100785732269, 5, 3, 180754]"
9,"[0.13080722093582153, 2, 5, 156530]","[0.08276186138391495, 5, 3, 180754]"
10,"[0.1160065233707428, 2, 5, 156530]","[0.08059251308441162, 5, 3, 180754]"
11,"[0.1093124970793724, 2, 5, 156530]","[0.07401993870735168, 5, 3, 180754]"
12,"[0.09679107367992401, 2, 5, 156530]","[0.06655687093734741, 5, 3, 180754]"
13,"[0.09187281876802444, 2, 5, 156530]","[0.0645366683602333, 5, 3, 180754]"
14,"[0.09675229340791702, 2, 5, 156530]","[0.05765143781900406, 5, 3, 180754]"
15,"[0.09200387448072433, 2, 5, 156530]","[0.05750616639852524, 5, 3, 180754]"
16,"[0.08184609562158585, 2, 5, 156530]","[0.04755234345793724, 5, 3, 180754]"
17,"[0.07581882923841476, 2, 5, 156530]","[0.05020328238606453, 5, 3, 180754]"
18,"[0.07111027091741562, 2, 5, 156530]","[0.0439748652279377, 5, 3, 180754]"
19,"[0.06667833030223846, 2, 5, 156530]","[0.04260243847966194, 5, 3, 180754]"
20,"[0.06348540633916855, 2, 5, 156530]","[0.03660905361175537, 5, 3, 180754]"
21,"[0.05967816337943077, 2, 5, 156530]","[0.03735727816820145, 5, 3, 180754]"
22,"[0.053245000541210175, 2, 5, 156530]","[0.03503556549549103, 5, 3, 180754]"
23,"[0.052625853568315506, 2, 5, 156530]","[0.03291160240769386, 5, 3, 180754]"
24,"[0.04651281610131264, 2, 5, 156530]","[0.030154837295413017, 9, 3, 180754]"
25,"[0.0432802215218544, 2, 5, 156530]","[0.030241578817367554, 5, 3, 180754]"
26,"[0.03962524235248566, 2, 5, 156530]","[0.024868791922926903, 9, 3, 180754]"
27,"[0.03617193549871445, 2, 5, 156530]","[0.02833152934908867, 5, 3, 180754]"
28,"[0.037439242005348206, 2, 5, 156530]","[0.02117740362882614, 9, 3, 180754]"
