,0,1
0,"[0.648646891117096, 3, 3, 135040]","[0.627059817314148, 3, 3, 144455]"
1,"[0.3067527115345001, 5, 3, 135040]","[0.3190414011478424, 5, 3, 144455]"
2,"[0.3217284679412842, 5, 3, 135040]","[0.305643767118454, 5, 3, 144455]"
3,"[0.3302847146987915, 5, 3, 135040]","[0.2737615704536438, 5, 3, 144455]"
4,"[0.30772027373313904, 5, 3, 135040]","[0.26013579964637756, 5, 3, 144455]"
5,"[0.2970423102378845, 5, 3, 135040]","[0.24310126900672913, 5, 3, 144455]"
6,"[0.30889788269996643, 5, 3, 135040]","[0.26222285628318787, 5, 3, 144455]"
7,"[0.29168835282325745, 5, 3, 135040]","[0.24040170013904572, 5, 3, 144455]"
8,"[0.29725581407546997, 5, 3, 135040]","[0.25046834349632263, 5, 3, 144455]"
9,"[0.27328452467918396, 5, 3, 135040]","[0.23381321132183075, 5, 3, 144455]"
10,"[0.2798168659210205, 5, 3, 135040]","[0.2534653842449188, 5, 3, 144455]"
11,"[0.25832927227020264, 5, 3, 135040]","[0.2479480654001236, 5, 3, 144455]"
12,"[0.2661914825439453, 5, 3, 135040]","[0.24933265149593353, 5, 3, 144455]"
13,"[0.24937047064304352, 5, 3, 135040]","[0.24458515644073486, 7, 3, 144455]"
14,"[0.24407514929771423, 5, 3, 135040]","[0.24737483263015747, 7, 3, 144455]"
15,"[0.23904073238372803, 5, 3, 135040]","[0.24481600522994995, 7, 3, 144455]"
16,"[0.2321464717388153, 5, 3, 135040]","[0.2398853451013565, 7, 3, 144455]"
17,"[0.2223464399576187, 5, 3, 135040]","[0.23793749511241913, 7, 3, 144455]"
18,"[0.20662212371826172, 5, 3, 135040]","[0.23312006890773773, 7, 3, 144455]"
19,"[0.2097255140542984, 5, 3, 135040]","[0.2483421266078949, 7, 3, 144455]"
20,"[0.2047586888074875, 5, 3, 135040]","[0.2438104897737503, 7, 3, 144455]"
21,"[0.1739150583744049, 5, 3, 135040]","[0.23916377127170563, 7, 3, 144455]"
22,"[0.1748814433813095, 5, 3, 135040]","[0.24125954508781433, 7, 3, 144455]"
23,"[0.17196229100227356, 5, 3, 135040]","[0.22543637454509735, 7, 3, 144455]"
24,"[0.15633483231067657, 5, 3, 135040]","[0.23617996275424957, 7, 3, 144455]"
25,"[0.14657999575138092, 5, 3, 135040]","[0.23570923507213593, 7, 3, 144455]"
26,"[0.1504061073064804, 5, 3, 135040]","[0.24371474981307983, 7, 3, 144455]"
27,"[0.13890130817890167, 5, 3, 135040]","[0.23053078353405, 7, 3, 144455]"
28,"[0.13965921103954315, 5, 3, 135040]","[0.20002087950706482, 7, 3, 144455]"
29,"[0.12903274595737457, 5, 3, 135040]","[0.21409480273723602, 7, 3, 144455]"
30,"[0.12280423194169998, 5, 3, 135040]","[0.20050042867660522, 7, 3, 144455]"
31,"[0.1058710515499115, 5, 3, 135040]","[0.20355132222175598, 7, 3, 144455]"
32,"[0.10281872004270554, 5, 3, 135040]","[0.20908567309379578, 7, 3, 144455]"
33,"[0.09889505058526993, 5, 3, 135040]","[0.2113901674747467, 7, 3, 144455]"
34,"[0.09897688031196594, 5, 3, 135040]","[0.20501668751239777, 7, 3, 144455]"
35,"[0.08831808716058731, 5, 3, 135040]","[0.19754479825496674, 7, 3, 144455]"
36,"[0.08293343335390091, 5, 3, 135040]","[0.20021069049835205, 7, 3, 144455]"
37,"[0.07334484159946442, 5, 3, 135040]","[0.21155892312526703, 7, 3, 144455]"
38,"[0.0654190331697464, 5, 3, 135040]","[0.19051876664161682, 7, 3, 144455]"
39,"[0.06858877092599869, 5, 3, 135040]","[0.22891995310783386, 7, 3, 144455]"
40,"[0.05340830609202385, 5, 3, 135040]","[0.20541700720787048, 7, 3, 144455]"
41,"[0.05693680793046951, 5, 3, 135040]","[0.21089890599250793, 7, 3, 144455]"
42,"[0.2555248260498047, 3, 3, 135040]","[0.7587518095970154, 3, 3, 144455]"
43,"[0.27877053022384644, 5, 3, 135040]","[0.6507568359375, 3, 3, 144455]"
44,"[0.2241617679595947, 5, 3, 135040]","[0.6119473576545715, 3, 3, 144455]"
45,"[0.24784021973609924, 5, 3, 135040]","[0.6611557006835938, 3, 3, 144455]"
46,"[0.29332536458969116, 5, 3, 135040]","[0.6137827038764954, 3, 3, 144455]"
47,"[0.3353753983974457, 5, 3, 135040]","[0.6845678091049194, 3, 3, 144455]"
48,"[0.33621746301651, 5, 3, 135040]","[0.6412716507911682, 3, 3, 144455]"
49,"[0.23592669367790222, 5, 3, 135040]","[0.6675281524658203, 3, 3, 144455]"
50,"[0.30887117981910706, 5, 3, 135040]","[0.6481760740280151, 3, 3, 144455]"
51,"[0.3665989935398102, 5, 3, 135040]","[0.7084826231002808, 3, 3, 144455]"
52,"[0.29857730865478516, 5, 3, 135040]","[0.6968329548835754, 3, 3, 144455]"
53,"[0.3728479743003845, 5, 3, 135040]","[0.6877262592315674, 3, 3, 144455]"
54,"[0.34897953271865845, 5, 3, 135040]","[0.7078338265419006, 3, 3, 144455]"
55,"[0.3951704800128937, 5, 3, 135040]","[0.717288076877594, 3, 3, 144455]"
56,"[0.35160592198371887, 5, 3, 135040]","[0.731701672077179, 3, 3, 144455]"
57,"[0.3730519115924835, 5, 3, 135040]","[0.7416814565658569, 3, 3, 144455]"
58,"[0.23125741183757782, 5, 3, 135040]","[0.7297311425209045, 3, 3, 144455]"
59,"[0.31320425271987915, 5, 3, 135040]","[0.7729318141937256, 3, 3, 144455]"
60,"[0.3500847816467285, 5, 3, 135040]","[0.7449471354484558, 3, 3, 144455]"
61,"[0.41161781549453735, 5, 3, 135040]","[0.7679341435432434, 3, 3, 144455]"
62,"[0.3293461501598358, 5, 3, 135040]","[0.7336104512214661, 3, 3, 144455]"
63,"[0.4127138555049896, 5, 3, 135040]","[0.7743288278579712, 3, 3, 144455]"
64,"[0.3609451949596405, 5, 3, 135040]","[0.761540949344635, 3, 3, 144455]"
65,"[0.38227516412734985, 5, 3, 135040]","[0.7766648530960083, 3, 3, 144455]"
66,"[0.33142220973968506, 5, 3, 135040]","[0.7638317942619324, 3, 3, 144455]"
67,"[0.462783545255661, 5, 3, 135040]","[0.8091966509819031, 3, 3, 144455]"
68,"[0.36089012026786804, 5, 3, 135040]","[0.7831900119781494, 3, 3, 144455]"
69,"[0.4750237464904785, 5, 3, 135040]","[0.7921326756477356, 3, 3, 144455]"
70,"[0.2898978888988495, 5, 3, 135040]","[0.7879112362861633, 3, 3, 144455]"
71,"[0.4435245096683502, 5, 3, 135040]","[0.8302658796310425, 3, 3, 144455]"
72,"[0.3631233870983124, 5, 3, 135040]","[0.8157211542129517, 3, 3, 144455]"
73,"[0.440713107585907, 5, 3, 135040]","[0.8304486274719238, 3, 3, 144455]"
74,"[0.34339773654937744, 5, 3, 135040]","[0.820206344127655, 3, 3, 144455]"
75,"[0.41662275791168213, 5, 3, 135040]","[0.8274590969085693, 3, 3, 144455]"
76,"[0.426372230052948, 5, 3, 135040]","[0.8314023613929749, 3, 3, 144455]"
77,"[0.43497803807258606, 5, 3, 135040]","[0.825941801071167, 3, 3, 144455]"
78,"[0.43251264095306396, 5, 3, 135040]","[0.8360112309455872, 3, 3, 144455]"
79,"[0.4491404592990875, 5, 3, 135040]","[0.861296534538269, 3, 3, 144455]"
80,"[0.43039214611053467, 5, 3, 135040]","[0.8238050937652588, 3, 3, 144455]"
81,"[0.4231434762477875, 5, 3, 135040]","[0.8546262383460999, 3, 3, 144455]"
82,"[0.486541211605072, 5, 3, 135040]","[0.8403971195220947, 3, 3, 144455]"
83,"[0.48816052079200745, 5, 3, 135040]","[0.8630408644676208, 3, 3, 144455]"
84,"[0.431630939245224, 5, 3, 135040]","[0.8670735359191895, 3, 3, 144455]"
85,"[0.4604437053203583, 5, 3, 135040]","[0.8639713525772095, 3, 3, 144455]"
86,"[0.42327743768692017, 5, 3, 135040]","[0.8295694589614868, 3, 3, 144455]"
87,"[0.4511233866214752, 5, 3, 135040]","[0.8734090328216553, 3, 3, 144455]"
88,"[0.387247234582901, 5, 3, 135040]","[0.8423550724983215, 3, 3, 144455]"
89,"[0.44440823793411255, 5, 3, 135040]","[0.8818057179450989, 3, 3, 144455]"
90,"[0.42778900265693665, 5, 3, 135040]","[0.8778946399688721, 3, 3, 144455]"
91,"[0.4990747570991516, 3, 3, 135040]","[0.8830001950263977, 3, 3, 144455]"
92,"[0.49728280305862427, 3, 3, 135040]","[0.8631943464279175, 3, 3, 144455]"
93,"[0.47359365224838257, 5, 3, 135040]","[0.8719353079795837, 3, 3, 144455]"
94,"[0.3444742262363434, 5, 3, 135040]","[0.8564382791519165, 3, 3, 144455]"
