,0,1
0,"[0.133617103099823, 3, 3, 135040]","[0.10066334903240204, 0, 3, 144455]"
1,"[0.19736097753047943, 5, 3, 135040]","[0.21702361106872559, 4, 3, 144455]"
2,"[0.25240465998649597, 5, 3, 135040]","[0.4221797585487366, 3, 3, 144455]"
3,"[0.2989928424358368, 5, 3, 135040]","[0.5086579918861389, 3, 3, 144455]"
4,"[0.30401715636253357, 5, 3, 135040]","[0.5206843614578247, 3, 3, 144455]"
5,"[0.32317793369293213, 5, 3, 135040]","[0.5391588807106018, 3, 3, 144455]"
6,"[0.3289501667022705, 5, 3, 135040]","[0.5384469628334045, 3, 3, 144455]"
7,"[0.3347582221031189, 5, 3, 135040]","[0.542339026927948, 3, 3, 144455]"
8,"[0.3368936777114868, 5, 3, 135040]","[0.5505253672599792, 3, 3, 144455]"
9,"[0.3407858610153198, 5, 3, 135040]","[0.5429120063781738, 3, 3, 144455]"
10,"[0.33657655119895935, 5, 3, 135040]","[0.5434445738792419, 3, 3, 144455]"
11,"[0.33966541290283203, 5, 3, 135040]","[0.5435913801193237, 3, 3, 144455]"
12,"[0.33639422059059143, 5, 3, 135040]","[0.5351831912994385, 3, 3, 144455]"
13,"[0.3432421088218689, 5, 3, 135040]","[0.5427190065383911, 3, 3, 144455]"
14,"[0.3427436947822571, 5, 3, 135040]","[0.5381383895874023, 3, 3, 144455]"
15,"[0.3502368927001953, 5, 3, 135040]","[0.5388292074203491, 3, 3, 144455]"
16,"[0.351707398891449, 5, 3, 135040]","[0.5357941389083862, 3, 3, 144455]"
17,"[0.35850051045417786, 5, 3, 135040]","[0.5385159850120544, 3, 3, 144455]"
18,"[0.3589870035648346, 5, 3, 135040]","[0.5341689586639404, 3, 3, 144455]"
19,"[0.36793383955955505, 5, 3, 135040]","[0.5275577306747437, 3, 3, 144455]"
20,"[0.37417012453079224, 5, 3, 135040]","[0.5227118730545044, 3, 3, 144455]"
21,"[0.37602362036705017, 5, 3, 135040]","[0.5178878307342529, 3, 3, 144455]"
22,"[0.3832799196243286, 5, 3, 135040]","[0.5174912810325623, 3, 3, 144455]"
23,"[0.3776775598526001, 5, 3, 135040]","[0.5134634375572205, 3, 3, 144455]"
24,"[0.38348761200904846, 5, 3, 135040]","[0.5142887234687805, 3, 3, 144455]"
25,"[0.38710084557533264, 5, 3, 135040]","[0.5079342126846313, 3, 3, 144455]"
26,"[0.381805956363678, 5, 3, 135040]","[0.5056763291358948, 3, 3, 144455]"
27,"[0.38712257146835327, 5, 3, 135040]","[0.5007965564727783, 3, 3, 144455]"
28,"[0.39428189396858215, 5, 3, 135040]","[0.49476733803749084, 3, 3, 144455]"
29,"[0.39875179529190063, 5, 3, 135040]","[0.49724897742271423, 3, 3, 144455]"
30,"[0.3942601680755615, 5, 3, 135040]","[0.49535417556762695, 3, 3, 144455]"
31,"[0.3967357575893402, 5, 3, 135040]","[0.49211886525154114, 3, 3, 144455]"
32,"[0.4032633900642395, 5, 3, 135040]","[0.4913094639778137, 3, 3, 144455]"
33,"[0.40354621410369873, 5, 3, 135040]","[0.49556025862693787, 3, 3, 144455]"
34,"[0.4094885587692261, 5, 3, 135040]","[0.48964923620224, 3, 3, 144455]"
35,"[0.41035303473472595, 5, 3, 135040]","[0.4918383061885834, 3, 3, 144455]"
36,"[0.41709235310554504, 5, 3, 135040]","[0.48482179641723633, 3, 3, 144455]"
37,"[0.41937342286109924, 5, 3, 135040]","[0.4925300180912018, 3, 3, 144455]"
38,"[0.4221046566963196, 5, 3, 135040]","[0.48456135392189026, 3, 3, 144455]"
39,"[0.42986780405044556, 5, 3, 135040]","[0.4906729757785797, 3, 3, 144455]"
40,"[0.4285372197628021, 5, 3, 135040]","[0.49211394786834717, 3, 3, 144455]"
41,"[0.4385688006877899, 5, 3, 135040]","[0.48964181542396545, 3, 3, 144455]"
42,"[0.43969669938087463, 5, 3, 135040]","[0.48789137601852417, 3, 3, 144455]"
43,"[0.44582125544548035, 5, 3, 135040]","[0.4905685782432556, 3, 3, 144455]"
44,"[0.4375527799129486, 5, 3, 135040]","[0.48623859882354736, 3, 3, 144455]"
45,"[0.4417243003845215, 5, 3, 135040]","[0.48020097613334656, 3, 3, 144455]"
46,"[0.44463348388671875, 5, 3, 135040]","[0.48195815086364746, 3, 3, 144455]"
47,"[0.4565693736076355, 5, 3, 135040]","[0.47864091396331787, 3, 3, 144455]"
48,"[0.4518473446369171, 5, 3, 135040]","[0.4816492795944214, 3, 3, 144455]"
49,"[0.4625037610530853, 5, 3, 135040]","[0.4818579852581024, 3, 3, 144455]"
50,"[0.46575218439102173, 5, 3, 135040]","[0.4759385287761688, 3, 3, 144455]"
51,"[0.46613991260528564, 5, 3, 135040]","[0.47470033168792725, 3, 3, 144455]"
52,"[0.4710645079612732, 5, 3, 135040]","[0.4755367934703827, 3, 3, 144455]"
53,"[0.45762938261032104, 5, 3, 135040]","[0.4787912666797638, 3, 3, 144455]"
54,"[0.47534048557281494, 5, 3, 135040]","[0.478071391582489, 3, 3, 144455]"
55,"[0.4773792326450348, 5, 3, 135040]","[0.4815964698791504, 3, 3, 144455]"
56,"[0.49225345253944397, 3, 3, 135040]","[0.4797215163707733, 3, 3, 144455]"
57,"[0.47461971640586853, 5, 3, 135040]","[0.4867402911186218, 3, 3, 144455]"
58,"[0.49675652384757996, 3, 3, 135040]","[0.48292165994644165, 3, 3, 144455]"
59,"[0.48823803663253784, 3, 3, 135040]","[0.4871385097503662, 3, 3, 144455]"
60,"[0.5022026896476746, 3, 3, 135040]","[0.48388928174972534, 3, 3, 144455]"
61,"[0.5075805187225342, 3, 3, 135040]","[0.4838678538799286, 3, 3, 144455]"
62,"[0.505077600479126, 3, 3, 135040]","[0.4811975359916687, 3, 3, 144455]"
63,"[0.5239788293838501, 3, 3, 135040]","[0.49397382140159607, 3, 3, 144455]"
64,"[0.5143147110939026, 3, 3, 135040]","[0.47669532895088196, 3, 3, 144455]"
65,"[0.5231577754020691, 3, 3, 135040]","[0.49574199318885803, 3, 3, 144455]"
66,"[0.5353140234947205, 3, 3, 135040]","[0.4839884042739868, 3, 3, 144455]"
67,"[0.5307366251945496, 3, 3, 135040]","[0.494346022605896, 3, 3, 144455]"
68,"[0.550711452960968, 3, 3, 135040]","[0.4879154860973358, 3, 3, 144455]"
69,"[0.55672687292099, 3, 3, 135040]","[0.497416615486145, 3, 3, 144455]"
70,"[0.5716860890388489, 3, 3, 135040]","[0.49513256549835205, 3, 3, 144455]"
71,"[0.5602874159812927, 3, 3, 135040]","[0.4973044991493225, 3, 3, 144455]"
72,"[0.5761966705322266, 3, 3, 135040]","[0.4931374788284302, 3, 3, 144455]"
73,"[0.5805785655975342, 3, 3, 135040]","[0.5063748955726624, 3, 3, 144455]"
74,"[0.5820184350013733, 3, 3, 135040]","[0.4909650981426239, 3, 3, 144455]"
75,"[0.5820736289024353, 3, 3, 135040]","[0.5094372630119324, 3, 3, 144455]"
76,"[0.5900005102157593, 3, 3, 135040]","[0.5116159319877625, 3, 3, 144455]"
77,"[0.6074818968772888, 3, 3, 135040]","[0.5199519991874695, 3, 3, 144455]"
78,"[0.5933891534805298, 3, 3, 135040]","[0.5100950002670288, 3, 3, 144455]"
79,"[0.6147739887237549, 3, 3, 135040]","[0.5148874521255493, 3, 3, 144455]"
80,"[0.6161680221557617, 3, 3, 135040]","[0.5240544080734253, 3, 3, 144455]"
81,"[0.6139147281646729, 3, 3, 135040]","[0.530387282371521, 3, 3, 144455]"
82,"[0.6197828650474548, 3, 3, 135040]","[0.5153232216835022, 3, 3, 144455]"
83,"[0.6381465792655945, 3, 3, 135040]","[0.5302018523216248, 3, 3, 144455]"
84,"[0.6450605988502502, 3, 3, 135040]","[0.5303300023078918, 3, 3, 144455]"
85,"[0.6508868336677551, 3, 3, 135040]","[0.5455707907676697, 3, 3, 144455]"
86,"[0.6451131105422974, 3, 3, 135040]","[0.5276230573654175, 3, 3, 144455]"
87,"[0.6615855097770691, 3, 3, 135040]","[0.5437645316123962, 3, 3, 144455]"
88,"[0.6790392398834229, 3, 3, 135040]","[0.5424612164497375, 3, 3, 144455]"
89,"[0.6776757836341858, 3, 3, 135040]","[0.5484393239021301, 3, 3, 144455]"
90,"[0.6759139895439148, 3, 3, 135040]","[0.5566324591636658, 3, 3, 144455]"
91,"[0.6889011859893799, 3, 3, 135040]","[0.5640745759010315, 3, 3, 144455]"
92,"[0.6823626756668091, 3, 3, 135040]","[0.5502143502235413, 3, 3, 144455]"
93,"[0.6930533051490784, 3, 3, 135040]","[0.5583499670028687, 3, 3, 144455]"
94,"[0.6945605874061584, 3, 3, 135040]","[0.5771986842155457, 3, 3, 144455]"
95,"[0.702420175075531, 3, 3, 135040]","[0.5760354399681091, 3, 3, 144455]"
96,"[0.6896968483924866, 3, 3, 135040]","[0.5790349841117859, 3, 3, 144455]"
97,"[0.714250922203064, 3, 3, 135040]","[0.5861056447029114, 3, 3, 144455]"
